,Rent,Occupancy,Attached BathRoom,AB,TV,AC,CUPBOARD,BEDDING,GEASER
297,7000,2,0,0,0,0,0,0,0
298,6500,3,0,0,0,0,0,0,0
299,7000,3,0,1,0,1,1,1,0
300,10000,2,0,0,0,0,0,0,0
301,9500,3,0,0,0,0,0,0,0
302,5500,2,0,0,0,0,0,0,0
303,5500,3,0,0,0,0,0,0,0
304,0,4,0,0,0,0,0,0,0
305,8000,1,1,1,1,0,1,1,1
306,7000,2,1,1,1,0,1,1,1
307,7000,3,1,1,1,0,1,1,1
308,0,4,0,0,0,0,0,0,0
309,8000,2,0,1,0,1,1,1,0
310,8000,3,0,1,0,1,1,1,0
311,7000,2,0,0,0,0,0,0,0
312,6500,3,0,0,0,0,0,0,0
313,8000,2,0,0,0,0,0,0,0
314,8000,2,0,0,0,0,0,0,0
315,14000,1,0,0,0,0,0,0,0
316,8000,2,0,0,0,0,0,0,0
317,5000,2,0,0,0,0,0,0,0
318,7500,3,0,0,0,0,0,0,0
319,6500,4,0,0,0,0,0,0,0
320,7000,3,0,0,0,0,0,0,0
321,8000,2,0,0,0,0,0,0,0
322,12000,1,0,0,0,0,0,0,0
323,7500,2,0,0,0,0,0,0,0
324,6500,3,0,0,0,0,1,1,0
325,0,1,0,0,0,0,0,0,0
326,6000,2,1,1,0,1,1,1,1
327,5500,3,1,1,0,1,1,1,1
328,0,4,0,0,0,0,0,0,0
329,10000,2,1,1,0,1,1,1,1
330,9500,1,0,1,0,0,1,1,0
331,7500,2,1,1,0,1,1,1,0
332,7500,3,0,0,0,0,1,1,0
333,6500,4,0,0,0,0,1,1,0
334,14000,1,1,1,1,1,1,1,1
335,9000,2,1,1,1,1,1,1,1
336,8500,2,0,0,0,0,1,1,0
337,9000,3,0,1,0,0,1,1,0
338,7500,4,0,0,0,0,1,1,0
339,20000,1,0,1,0,0,1,1,0
340,10000,2,0,1,0,0,1,1,1
341,8500,3,0,1,0,0,1,1,1
342,8000,4,0,1,0,0,1,1,0
343,10000,2,0,0,0,1,0,0,0
344,7800,3,0,0,0,1,0,0,0
345,7700,4,0,0,0,0,0,0,0
346,5000,2,0,1,0,1,1,1,1
347,7000,2,0,0,0,0,0,0,0
348,5500,3,0,0,0,0,0,0,0
349,8500,1,0,0,0,0,0,0,0
350,7000,2,0,0,0,0,0,0,0
351,5500,3,0,0,0,0,0,0,0
352,12500,2,0,0,0,0,0,0,0
353,10500,3,0,0,0,0,0,0,0
354,8500,2,0,0,0,0,0,0,0
355,7500,3,0,0,0,0,0,0,0
356,7000,4,0,0,0,0,0,0,0
357,7700,4,0,0,0,0,0,0,0
358,9500,2,1,1,0,1,1,1,1
359,9000,3,1,1,0,1,1,1,1
360,10000,2,0,1,0,1,1,1,1
361,18200,1,0,0,0,0,0,0,1
362,13000,2,0,0,0,0,0,0,1
363,10200,3,0,0,0,0,0,0,1
364,13500,2,0,0,0,0,0,0,0
365,11000,3,0,0,1,0,1,0,0
366,7500,3,0,0,0,0,0,0,0
367,9000,1,1,1,0,0,1,1,1
368,8000,2,1,1,0,0,1,1,1
369,7000,3,0,0,0,0,0,0,0
370,9000,1,1,1,0,0,1,1,1
371,8000,2,1,1,0,0,1,1,1
372,7000,3,0,0,0,0,0,0,0
373,7000,2,0,0,0,0,0,0,0
374,6500,3,0,0,0,0,0,0,0
375,0,1,0,0,0,0,0,0,0
376,5000,2,0,1,0,0,1,1,1
377,18000,1,0,0,0,0,0,0,0
378,10500,2,0,0,0,0,0,0,0
379,8500,3,0,0,0,0,0,0,0
380,7000,2,0,0,0,0,0,0,0
381,0,1,0,0,0,0,0,0,0
382,7500,2,1,1,1,1,0,1,0
383,7500,3,1,1,1,1,0,1,0
384,6500,4,1,1,1,1,0,1,0
385,6500,3,0,0,0,0,0,0,0
386,8000,1,0,0,0,0,0,0,0
387,7000,2,0,0,0,0,0,0,0
388,6000,3,0,0,0,0,0,0,0
389,10800,1,0,0,0,0,0,0,0
390,8500,2,0,0,0,0,0,0,0
391,7500,3,0,0,0,0,0,0,0
392,8500,2,0,0,0,0,0,0,0
393,8500,3,0,0,0,0,0,0,0
