,Rent,Occupancy,Attached BathRoom,AB,TV,AC,CUPBOARD,BEDDING,GEASER
286,7000,DOUBLE,False,False,False,False,False,False,False
287,6500,DOUBLE,False,True,False,False,True,True,True
288,6000,THREE,False,True,False,False,True,True,True
289,5500,FOUR,False,True,False,False,True,True,True
290,12000,SINGLE,False,False,False,False,False,False,False
291,7500,DOUBLE,False,False,False,False,False,False,False
292,6500,THREE,False,False,False,False,False,False,False
293,12000,SINGLE,False,False,False,False,False,False,False
294,7500,DOUBLE,False,False,False,False,False,False,False
295,6500,THREE,False,False,False,False,False,False,False
296,5000,FOUR,False,False,False,False,False,False,False
297,7000,DOUBLE,False,False,False,False,False,False,False
298,6500,THREE,False,False,False,False,False,False,False
299,7000,THREE,False,True,False,True,True,True,False
300,10000,DOUBLE,False,False,False,False,False,False,False
301,9500,THREE,False,False,False,False,False,False,False
302,5500,DOUBLE,False,False,False,False,False,False,False
303,5500,THREE,False,False,False,False,False,False,False
304,0,FOUR,False,False,False,False,False,False,False
305,8000,SINGLE,True,True,True,False,True,True,True
306,7000,DOUBLE,True,True,True,False,True,True,True
307,7000,THREE,True,True,True,False,True,True,True
308,0,FOUR,False,False,False,False,False,False,False
309,8000,DOUBLE,False,True,False,True,True,True,False
310,8000,THREE,False,True,False,True,True,True,False
311,7000,DOUBLE,False,False,False,False,False,False,False
312,6500,THREE,False,False,False,False,False,False,False
313,8000,DOUBLE,False,False,False,False,False,False,False
314,8000,DOUBLE,False,False,False,False,False,False,False
315,14000,SINGLE,False,False,False,False,False,False,False
316,8000,DOUBLE,False,False,False,False,False,False,False
317,5000,DOUBLE,False,False,False,False,False,False,False
318,7500,THREE,False,False,False,False,False,False,False
319,6500,FOUR,False,False,False,False,False,False,False
320,7000,THREE,False,False,False,False,False,False,False
321,8000,DOUBLE,False,False,False,False,False,False,False
322,12000,SINGLE,False,False,False,False,False,False,False
323,7500,DOUBLE,False,False,False,False,False,False,False
324,6500,THREE,False,False,False,False,True,True,False
325,0,SINGLE,False,,,,,,
326,6000,DOUBLE,True,True,False,True,True,True,True
327,5500,THREE,True,True,False,True,True,True,True
328,0,FOUR,False,,,,,,
329,10000,DOUBLE,True,True,False,True,True,True,True
330,9500,SINGLE,False,True,False,False,True,True,False
331,7500,DOUBLE,True,True,False,True,True,True,False
332,7500,THREE,False,False,False,False,True,True,False
333,6500,FOUR,False,False,False,False,True,True,False
334,14000,SINGLE,True,True,True,True,True,True,True
335,9000,DOUBLE,True,True,True,True,True,True,True
336,8500,DOUBLE,False,False,False,False,True,True,False
337,9000,THREE,False,True,False,False,True,True,False
338,7500,FOUR,False,False,False,False,True,True,False
339,20000,SINGLE,False,True,False,False,True,True,False
340,10000,DOUBLE,False,True,False,False,True,True,True
341,8500,THREE,False,True,False,False,True,True,True
342,8000,FOUR,False,True,False,False,True,True,False
343,10000,DOUBLE,False,False,False,True,False,False,False
344,7800,THREE,False,False,False,True,False,False,False
345,7700,FOUR,False,False,False,False,False,False,False
346,5000,DOUBLE,False,True,False,True,True,True,True
347,7000,DOUBLE,False,False,False,False,False,False,False
348,5500,THREE,False,False,False,False,False,False,False
349,8500,SINGLE,False,False,False,False,False,False,False
350,7000,DOUBLE,False,False,False,False,False,False,False
